
user_id,name,age,gender,region,signup_dt,is_employee,is_test_user,segment
u001,Kim,29,F,서울,2025-06-01,false,false,VIP
u002,Lee,35,M,경기,2025-05-14,false,false,Standard
u003,Park,42,F,부산,2025-03-20,false,false,Standard
u004,Choi,31,F,서울,2025-07-11,true,false,VIP
u005,Jung,27,M,경기,2025-04-02,false,true,Standard
u006,Han,50,M,인천,2025-02-18,false,false,VIP
u007,Cho,22,F,서울,2025-06-21,false,false,Standard
u008,Yoon,38,M,대전,2025-01-09,false,false,Standard
u009,Im,45,F,경기,2025-08-01,false,false,VIP
u010,Seo,33,M,부산,2025-05-27,false,false,Standard
u011,Shin,28,F,서울,2025-07-03,false,false,Standard
u012,Kang,36,M,경기,2025-08-10,false,false,VIP
u013,Yi,41,F,광주,2025-06-30,false,false,Standard
u014,Oh,39,M,서울,2025-08-20,false,false,Standard
u015,An,26,F,경기,2025-07-25,false,false,VIP
u016,Song,34,M,대구,2025-06-16,false,false,Standard
u017,Na,30,F,서울,2025-08-05,false,false,Standard
u018,Ha,48,M,경기,2025-04-28,false,false,VIP
u019,Byun,37,F,부산,2025-08-12,false,false,Standard
u020,Jeon,32,M,서울,2025-07-02,false,false,VIP
